order_id,order_date,MONTH,YEAR,store_name,product_name,category_name,brand_name,list_price,quantity,discount,total_revenue,net_revenue
1,01/01/2016,1,2016,Santa Cruz Bikes,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,599.99,1,0.2,599.99,479.992
1,01/01/2016,1,2016,Santa Cruz Bikes,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1799.99,2,0.07,3599.98,3347.9814
1,01/01/2016,1,2016,Santa Cruz Bikes,Surly Straggler - 2016,Cyclocross Bicycles,Surly,1549,2,0.05,3098,2943.1
1,01/01/2016,1,2016,Santa Cruz Bikes,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,599.99,2,0.05,1199.98,1139.981
1,01/01/2016,1,2016,Santa Cruz Bikes,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,2899.99,1,0.2,2899.99,2319.992
2,01/01/2016,1,2016,Baldwin Bikes,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,599.99,1,0.07,599.99,557.9907
2,01/01/2016,1,2016,Baldwin Bikes,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,599.99,2,0.05,1199.98,1139.981
3,02/01/2016,1,2016,Baldwin Bikes,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,999.99,1,0.05,999.99,949.9905
3,02/01/2016,1,2016,Baldwin Bikes,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,599.99,1,0.05,599.99,569.9905
4,03/01/2016,1,2016,Santa Cruz Bikes,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,749.99,2,0.1,1499.98,1349.982
5,03/01/2016,1,2016,Baldwin Bikes,Surly Straggler - 2016,Cyclocross Bicycles,Surly,1549,2,0.05,3098,2943.1
5,03/01/2016,1,2016,Baldwin Bikes,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,429,1,0.07,429,398.97
5,03/01/2016,1,2016,Baldwin Bikes,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,599.99,1,0.07,599.99,557.9907
6,04/01/2016,1,2016,Baldwin Bikes,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,449,1,0.07,449,417.57
6,04/01/2016,1,2016,Baldwin Bikes,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,549.99,2,0.05,1099.98,1044.981
